Ship Mode,First Class,,,Same Day,,,Second Class,,,Standard Class,,
3-Sep-16,,,,,,,,,,24.448,,
22-Apr-16,,,,,,,,,,675.06,,
19-Nov-16,,,,,,,22.96,,,,,
24-Nov-16,,,,,,,,,,,,1446.84
2-Sep-16,,,,,,,,,,1577.94,,
9-Sep-16,,,,,,,,,,458.984,,
14-Dec-16,,,,,,,,,,,204.55,
9-Sep-16,,,,,,,,,,,685.26,
4-Nov-16,,1883.724,,,,,,,,,,
21-Oct-16,,,,,,,,,,,,17.856
7-Oct-16,,,,,,,,,,,,1027.21
12-Jun-16,,,,,,,,,,,,544.14
26-Jun-16,,,,,,,,,,,287.424,
10-Dec-16,,,,,,,,,684.78,,,
31-Jan-16,,,,,,,,,,419.136,,
12-Oct-16,,,,,,7.968,,,,,,
3-Oct-16,,,,,,,,,,33.472,,
22-Dec-16,,,,,,,,,,1090.348,,
7-Jan-16,,,,,,,,,,,,33.74
17-Aug-16,,,,,,,,,,,,201.09
20-Jun-16,4.464,,,,,,,,,,,
27-May-16,,,,,,,,,,,39.252,
12-Mar-16,,,,,,,,,,40.41,,
26-May-16,,,,,,,,,,23.08,,
3-Nov-16,,,,,,,,15.992,,,,
24-Nov-16,,,,,,,,19.008,,,,
12-Nov-16,,,,,,,,,,26.72,,
20-Nov-16,,,,,,,,,,,,27.58
6-Nov-16,,,,,,,,,,,5.78,
2-Dec-16,,,,,,,,,,,,45.66
25-Nov-16,,,,,,,48.87,,,,,
30-Oct-16,,,204.98,,,,,,,,,
8-Mar-16,,668.54,,,,,,,,,,
21-Aug-16,,,,,,,866.4,,,,,
10-Mar-16,,,,,,,,,,,61.876,
21-Mar-16,,,,,,,,,,,64.384,
6-May-16,54.66,,,,,,,,,,,
8-Apr-16,,,,,,,,,,,2747.25,
17-Sep-16,,,,,,,,,830.24,,,
16-Oct-16,,,,,,,,,,124.75,,
4-Jun-16,,,,,,,,,,,103.968,
11-Nov-16,,,,,,,,1158.12,,,,
19-Dec-16,1665.62,,,,,,,,,,,
20-Oct-16,,,,,,,,,,199.17,,
2-Jun-16,,,,25.344,,,,,,,,
10-Dec-16,19.104,,,,,,,,,,,
16-Oct-16,,,,,,,,,,,1893.786,
4-Nov-16,,,,,,,,,,,,4.3
18-May-16,,524.85,,,,,,,,,,
9-Nov-16,,,,,,,,,,,,691.144
10-Sep-16,,,,,,,,,,2.78,,
28-Sep-16,,,,,,,,,,,10.368,
22-Jan-16,,,,,,,,,,,,383.992
27-May-16,,,,,,,25.92,,,,,
5-May-16,,,,,,,,,,,34.5,
11-Aug-16,,,,,,,,,477.51,,,
5-Mar-16,,,,,839.25,,,,,,,
22-Sep-16,726.91,,,,,,,,,,,
25-May-16,,,,,,,,,,,,29.84
3-Nov-16,,,,,,,,,,,361.376,
6-Aug-16,,,,,,,161.14,,,,,
6-Apr-16,,,,,,,,,,,8.1,
15-Apr-16,,15.57,,,,,,,,,,
22-Sep-16,,,,,,,,,,30.9,,
26-Mar-16,,,,,,,,,,,,57.01
26-Oct-16,,,,,,,,,,608.43,,
9-Oct-16,10.816,,,,,,,,,,,
7-Aug-16,,,,,,,79.992,,,,,
24-Sep-16,79,,,,,,,,,,,
25-Dec-16,,,,,,,400.39,,,,,
17-Nov-16,,,,,,,,,,,286.09,
18-Sep-16,,,,,,,,,,,997.83,
2-Dec-16,,,,,,,,,,,47.96,
26-Nov-16,,,,,,,,,,,12.84,
13-Nov-16,,,,,,,728.968,,,,,
17-Nov-16,,,,,,,,,,35.04,,
2-Dec-16,,,,,,,,,,32.776,,
7-Apr-16,,,,,,,,,,,,235.44
18-Nov-16,,,,,,,,,,47.328,,
6-Nov-16,,,,,,,831.368,,,,,
24-Apr-16,,,,,,,,,,,113.568,
11-Dec-16,,,,,,,,,,,873.811,
2-Nov-16,,,,,,,,,,5.56,,
10-Jul-16,,,,,,,,,,,41.91,
11-Apr-13,,,,,,,737.2,,,,,
21-Mar-13,,,,,,,,,,,16.272,
8-Jun-13,,,,,,,,,,,170.352,
5-Nov-13,,,,149.9,,,,,,,,
9-Sep-13,,,,,,,,,,1299.99,,
21-Jun-13,,,,,,,425.67,,,,,
17-Sep-13,,,,,,,,,,52.608,,
8-Apr-13,,,,,,,,,,,1215.92,
14-Mar-13,,,,,,,,,,,,1139.92
23-Jun-13,23.12,,,,,,,,,,,
10-Sep-13,,,,,,,,,,,,9.64
19-Aug-13,,,,,,,,,,,344.91,
20-Jan-13,,,,,,,,,,1859.4,,
20-Jan-13,,,,,,,,,,,67.194,
19-Dec-13,,,,,,,,,,252.612,,
26-Jan-13,,,,,,,,,,,,944.61
21-Mar-13,,,,,,,,,,310.528,,
3-Oct-13,,,,,,,,,,,,67.76
13-Sep-13,,,,,,,,,,,18.648,
19-Aug-13,,,,,,,,,,638.82,,
5-Apr-13,,,,,,,,,,,115.36,
22-Mar-13,,,,,,,,,,59.109,,
17-Mar-13,,,,,,,,,,,103.5,
1-Jun-13,,,,,,,,,,904.13,,
30-Sep-13,,,,,,,,,,15.552,,
15-Jun-14,11.672,,,,,,,,,,,
11-Oct-14,,,,,,,,,,979.9455,,
24-Mar-14,,,,,,,,,,,6.992,
26-May-14,,,,,,,,,352.168,,,
11-Dec-14,,,,,,,,,,12.828,,
11-Jun-14,,,,,,,,,,207.82,,
27-Jul-14,,,,,,,,,,29.97,,
15-Sep-14,,,,,111.904,,,,,,,
5-Dec-14,,97.424,,,,,,,,,,
26-Apr-14,,,,,,,,,,1001.76,,
5-Apr-14,,,,,,,,,,,157.794,
25-Dec-14,,,,,,,433.78,,,,,
13-Jul-14,,,,,,,,38.88,,,,
28-Feb-14,,,,,,,,,,551.264,,
1-Dec-14,,,,,,,,,,,125.64,
17-Jul-14,,,,,,,,231.92,,,,
6-Sep-14,,,,,,,85.98,,,,,
5-Jul-14,,,,,,,,,,,16.712,
25-Nov-14,,,,,,,,,,13.12,,
10-Dec-14,,,,,,,,,,129.64,,
27-Nov-14,,,,,,,,,,459.4335,,
4-Sep-15,,87.28,,,,,,,,,,
6-Aug-15,,,,,,,,,,,197.05,
9-Apr-15,354.9,,,,,,,,,,,
5-Feb-15,,,,,,2075.51,,,,,,
14-Mar-15,,,,,,,,,,,,334.2
27-Sep-15,,,,,,,,,,,,431.976
10-Aug-15,645.136,,,,,,,,,,,
23-Oct-15,39.92,,,,,,,,,,,
26-Nov-15,59.98,,,,,,,,,,,
19-Mar-15,,,,,,,189.882,,,,,
6-Sep-15,,,,,,,,,,1678,,
16-Apr-15,,,,,,,,,,,,895.06
30-Jul-15,2.214,,,,,,,,,,,
12-Dec-15,,,,,,,,,,6.672,,
1-Dec-15,,,,36.192,,,,,,,,
30-Dec-15,,,,,,,,,62.752,,,
22-Jan-15,,,,,,,,,,530.272,,
8-Jan-15,,,,,,,,,,187.228,,
19-Nov-15,,,,,,,,1319.96,,,,
21-Feb-15,,,,,,,,,,,,471.078
1-Feb-15,,56.45,,,,,,,,,,
1-Nov-15,,,,,,,32.064,,,,,
29-Oct-15,,,,,,,,,,,17.616,
16-May-15,,,,,,,,,,,,612.14
6-May-15,,,,,,,,,,16.72,,
12-Dec-15,,,,85.224,,,,,,,,
15-May-15,,,,,,,,,,,191.018,
11-Oct-15,,,,,,,,,,,24.703,
18-May-15,,,,,,,,,,,29.97,
7-Nov-15,,368.432,,,,,,,,,,
23-Sep-15,,,,,,,,,,,,13.28
14-Aug-15,,,,89.32,,,,,,,,
27-Nov-15,,,3.744,,,,,,,,,
18-Apr-15,,,,,,,,,,,79.12,
10-Dec-15,,,,,,,,82.92,,,,
27-Mar-15,187.616,,,,,,,,,,,
17-Apr-15,,,,,,,,,,12.84,,
4-Jan-15,,,,,,,,,,,959.968,
7-Jun-15,678.87,,,,,,,,,,,
25-Dec-15,,,,,,,,,823.61,,,
13-Dec-15,,,,,,,,,,299.07,,
7-Apr-16,,,,,,,,,,,,1735.8505
13-Nov-16,,,,,,,,,,239.92,,
27-Jan-16,,,,,,,,,,3002.65,,
2-Dec-16,34.65,,,,,,,,,,,
30-Apr-16,,,,,,,,,,,,225.546
25-Nov-16,,,,,,,,701.96,,,,
20-Aug-16,,,,,,,,,,,,35.96
20-Oct-16,,,,,,,,,,,30.336,
4-Sep-16,,,,,,,,,,107.552,,
19-Oct-16,,,,,,,,,,,,1633.188
19-May-16,,,,195.64,,,,,,,,
14-Apr-16,,,,,,,,,,,198.272,
3-Jul-16,,,,,,,,,,311.96,,
24-Nov-16,,,,,,,,,,,76.521,
15-Jul-16,,1065.84,,,,,,,,,,
17-Mar-16,,,,,,,,,,,,4.608
23-Apr-16,,,,,,,,,,,,513.496
27-May-16,,,,,,,,,,,,598.31
24-Sep-16,,,,,,,,,,,,148.16
22-Jun-16,37.608,,,,,,,,,,,
26-Feb-16,,,,,,,,,,428.704,,
31-Aug-16,,,,,,,229.544,,,,,
10-Dec-16,,,,,,,,,,,14.76,
20-Jun-16,,,,,,,,,,536.36,,
7-Dec-16,,,,,,,,,,82.38,,
9-Jun-16,,,,,,,,,,49.12,,
21-Sep-16,,,,,,,,,,12.294,,
30-Nov-16,,,,,,,,,71.976,,,
13-Oct-16,348.56,,,,,,,,,,,
3-Dec-16,,,,,,,,,,98.446,,
6-Jul-16,,,,239.24,,,,,,,,
16-Jul-16,,,,,,,,,,242.352,,
11-Sep-16,,,,,,,,,,67.9,,
13-Nov-16,,,,,,,2.064,,,,,
4-Nov-16,,,,,,,,,,,,9.664
29-Dec-16,,,,,,,1814.68,,,,,
31-Mar-16,,,,,,,,,732.93,,,
27-Aug-16,,2.896,,,,,,,,,,
2-Oct-16,,,2437.672,,,,,,,,,
23-Dec-16,,,,,,,,1152.87,,,,
18-Feb-16,,,,,,,29.16,,,,,
1-Jan-16,,,,,,,,,,71.096,,
3-Jul-16,,,,,,,,,,24,,
28-Mar-16,,,,,,,,,,,68.742,
9-Dec-16,,,,,,,1827.51,,,,,
4-Nov-16,,,,,8167.42,,,,,,,
8-Jan-16,,,,,,,,,,2.808,,
